date,title,iiif_presence,location,attending,notes,url,start_date,end_date
"July 20, 2020", IIIF Showcase and best practice,,"National Gallery, London",,,,2020-07-20,2020-07-20
"November 05, 2020", Digitalisate interoperabel ins Netz! IIIF Outreach auf der MUTEC 2020,,"Leipzig, Germany",,,"http://bit.ly/mutec2020iiif-en",2020-11-05, 2020-11-05
"June 1-5, 2020",IIIF Week,IIIF Focus,Online,Everyone! international,"Events spread out over a week, in lieu of annual conference",https://iiif.io/event/2020/iiifweek/,2020-06-01,2020-06-05
"February 6-7, 2020",IIIF + Maps,IIIF + Maps focus,"Palo Alto, California, US",Jack Reed,Colocated with Geo4LibCamp which attendees are also welcome to attend.,https://geo4libcamp.org/iiif%2Bmaps_2020/,2020-02-06,2020-02-07
"January 23, 2020",Mieux diffuser et valoriser ses images sur le Web grâce aux standards IIIF,1 IIIF presentation,"Tours, France",Régis Robineau,"2-hours presentation in a research institute, with video broadcast in two other institutions in Poitiers and Orléans",https://www.msh-vdl.fr/actualite/presentation-mieux-diffuser-et-valoriser-ses-images-sur-le-web-grace-aux-standards-iiif/,,
"March 24, 2020",VRA Conference Workshops,Workshop,"Baltimore, MD","Piotr Adamcyk, Jeff Mixter",,https://vra2020.sched.com/event/VigI/full-iiif-in-2020-what-you-need-to-know-to-join-the-party-workshop,,
"March 30-31, 2020",CNI Spring 2020 Membership Meeting,Project briefings; opening plenary by IIIF Spec Editor Rob Sanderson,"San Diego, California, US",Rob Sanderson,,https://www.cni.org/events/membership-meetings/upcoming-meeting/spring-2020,,
"March 31-April 4, 2020",MuseWeb,"Pre-conference workshop, how-to session","Los Angeles, US","Andy Cummins, Neil Hawkins (Cogapp)",Session links: Hands-on IIIF workshop and IIIF at Scale,https://mw20.museweb.net/,,
"April 30,2020",IIIF in Ghent -- POSTPONED,IIIF focus,"Ghent, Belgium","Dries Moreels, Glen Robson",Mixed Dutch and English languages,,,
"June 1-4, 2020",IIIF Annual Conference -- POSTPONED,IIIF focus,"Boston, MA","Everyone! Annual, international",,https://iiif.io/event/2020/boston/,,
"December 4-6, 2019",No Time to Wait 4,"1 IIIF presentation
1 IIIF-related lightning talk","Budapest, Hungary",Andy Irving,Note: remote attendance supported,https://mediaarea.net/NoTimeToWait4,,
"November 27, 2019",Europeana IIIF event,Pre-conference to Europeana AGM,"Lisbon, Portugal",Glen Robson,,https://iiif.io/event/2019/lisbon/,,
"November 4-7, 2019",IIIF Working Meeting,IIIF WG meeting,"Ann Arbor, Michigan, US",Working meeting open to all active IIIF participants,,https://iiif.io/event/2019/ann_arbor/,,
"November 5-8, 2019",MCN 2019 (Museum Computer Network),IIIF: Collaboration and Community Built Technological Innovations,"San Diego, California, US","Rob Lancefield, David Newbury, many more TBD",Call for proposals is open through April 30.,https://conference.mcn.edu/2019/about.cfm,,
"September 27, 2019",UKZN Special Collections Conference,IIIF Workshop,South Africa,"Glen Robson, David Larsen",,http://heritage.africamediaonline.com/heritage-digital-campus-2019/,,
